City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,luwuk,-0.9516,122.7875,29.81,74,78,1.34,ID,1682483744
149,solnechnyy,50.7214,136.6319,5.01,64,99,1.28,RU,1682483746
150,karatau,43.1667,70.4667,16.15,37,0,9.42,KZ,1682483746
151,oxford,51.7522,-1.256,5.66,84,100,4.12,GB,1682483637
152,mount pearl,47.5166,-52.7813,1.64,95,100,7.2,CA,1682483748
153,uturoa,-16.7333,-151.4333,28.04,75,92,2.84,PF,1682483748
154,hawaiian paradise park,19.5933,-154.9731,24.73,80,20,4.63,US,1682483534
155,jalarpet,12.5667,78.5833,31.78,48,49,2.34,IN,1682483750
156,cannonvale,-20.2833,148.7,23.66,80,60,7.76,AU,1682483750
157,chonchi,-42.6128,-73.8092,10.56,98,100,0.8,CL,1682483751
158,laishevo,55.4046,49.5504,13.12,82,100,6.7,RU,1682483751
159,college,64.8569,-147.8028,3.99,46,75,4.63,US,1682483568
160,kayangel,8.0823,134.7173,28.87,68,6,1.66,PW,1682483753
161,khadan khak,30.7477,67.7085,19.95,21,100,3.01,PK,1682483753
162,price,39.5994,-110.8107,6.18,56,20,2.57,US,1682483754
163,anadyr,64.75,177.4833,-5.0,57,0,9.83,RU,1682483755
164,carnot,4.9409,15.8665,20.92,97,86,1.19,CF,1682483755
165,pisco,-13.7,-76.2167,22.03,83,0,1.03,PE,1682483756
166,tomatlan,19.9333,-105.25,19.86,78,100,0.82,MX,1682483756
167,ust'-kulom,61.6864,53.6902,10.52,75,100,1.78,RU,1682483757
168,carcarana,-32.8568,-61.1533,16.48,94,53,0.38,AR,1682483758
169,keflavik,64.0049,-22.5624,1.24,86,75,4.12,IS,1682483758
170,codrington,-38.2667,141.9667,23.9,44,100,6.21,AU,1682483759
171,kawambwa,-9.7915,29.0791,16.77,90,8,2.68,ZM,1682483760
172,okhotsk,59.3833,143.3,1.37,80,68,3.76,RU,1682483760
173,coahuayana de hidalgo,18.7,-103.6583,22.08,72,99,1.46,MX,1682483532
174,bikenibeu village,1.3673,173.1241,29.98,70,75,2.57,KI,1682483762
175,dudinka,69.4058,86.1778,-0.21,96,100,5.15,RU,1682483762
176,el reno,35.5323,-97.955,10.2,93,100,7.72,US,1682483763
177,yeraliyev,43.2,51.65,16.97,64,100,4.18,KZ,1682483764
178,mpika,-11.8343,31.4529,14.48,92,14,2.19,ZM,1682483764
179,wailua homesteads,22.0669,-159.378,25.24,75,75,5.66,US,1682483548
180,charters towers,-20.1,146.2667,27.1,42,71,5.61,AU,1682483766
181,beaufort west,-32.3567,22.583,15.1,67,54,1.96,ZA,1682483767
182,enewetak,11.3474,162.3373,27.08,84,73,8.94,MH,1682483768
183,qaqortoq,60.7167,-46.0333,0.4,94,96,0.29,GL,1682483769
184,klyuchi,52.2667,79.1667,17.84,39,55,5.75,RU,1682483769
185,faridkot,30.6667,74.75,34.83,14,48,3.0,IN,1682483770
186,mazar-e sharif,36.709,67.1109,29.63,18,0,2.67,AF,1682483770
187,tazacorte,28.629,-17.9293,18.54,71,0,3.09,ES,1682483771
188,mejit,10.2753,170.8646,27.3,79,93,9.35,MH,1682483772
189,fale old settlement,-9.3852,-171.2468,29.17,74,13,5.79,TK,1682483543
190,kavaratti,10.5669,72.642,27.63,70,79,2.93,IN,1682483773
191,kralendijk,12.15,-68.2667,25.99,89,4,4.12,BQ,1682483774
192,hepo,23.4308,115.8299,25.44,56,38,0.88,CN,1682483775
193,namibe,-15.1961,12.1522,24.39,78,63,1.19,AO,1682483776
194,constantia,44.1833,28.65,9.28,83,88,4.21,RO,1682483776
195,saint-joseph,-21.3667,55.6167,27.48,83,29,1.84,RE,1682483777
196,bamboo flat,11.7,92.7167,32.05,70,40,3.6,IN,1682483521
197,airuk,7.2772,168.8203,27.5,78,97,11.21,MH,1682483778
198,hermanus,-34.4187,19.2345,12.11,86,100,3.38,ZA,1682483243
199,watertown,42.3709,-71.1828,8.92,89,100,3.09,US,1682483749
200,taman',45.2117,36.7161,11.38,73,63,4.59,RU,1682483780
201,comodoro rivadavia,-45.8667,-67.5,9.92,87,40,1.03,AR,1682483781
202,alenquer,-1.9417,-54.7383,23.57,95,97,0.95,BR,1682483782
203,la ronge,55.1001,-105.2842,3.14,93,100,5.66,CA,1682483783
204,cabedelo,-6.9811,-34.8339,25.37,89,95,2.84,BR,1682483784
205,st. john's,47.5649,-52.7093,2.1,95,100,7.6,CA,1682483647
206,karema,-6.8205,30.4389,21.33,86,2,2.87,TZ,1682483785
207,churachandpur,24.3333,93.6667,29.71,28,48,2.71,IN,1682483736
208,bilmak,47.3624,36.6511,10.79,74,39,4.16,UA,1682483786
209,manismata,-2.4667,111.0333,32.18,58,73,1.55,ID,1682483787
210,porbandar,21.6422,69.6093,30.99,55,20,5.14,IN,1682483788
211,taoudenni,22.6783,-3.9836,27.49,13,34,4.62,ML,1682483789
212,kalmunai,7.4167,81.8167,30.92,63,87,2.6,LK,1682483790
213,cascais,38.6979,-9.4215,16.39,79,32,8.05,PT,1682483791
214,olinda,-8.0089,-34.8553,24.85,88,75,5.66,BR,1682483791
